Content,Origin,Eating_Disorder,Type,Method
"""I wish I had the willpower to starve myself like that.""",mixtral,1.0,Comment,Generated
"""Skinny is always going to be in, and fat is a four-letter word.""",mixtral,1.0,Comment,Generated
"""I can't even look at food without feeling guilty.""",mixtral,1.0,Comment,Generated
"""I'm on a strict diet, only eating 500 calories a day.""",mixtral,1.0,Comment,Generated
"""I don't know how she stays so thin, she must have an eating disorder.""",mixtral,1.0,Comment,Generated
"""Starvation mode is a myth, you can't gain weight if you eat too little.""",mixtral,1.0,Comment,Generated
"""I'm so fat, I need to go on a juice cleanse for a week.""",mixtral,1.0,Comment,Generated
"""I can't eat carbs, they make me gain weight instantly.""",mixtral,1.0,Comment,Generated
"""I'm not hungry, I'll just have a cup of coffee instead.""",mixtral,1.0,Comment,Generated
"""I'm only eating salad for the next month.""",mixtral,1.0,Comment,Generated
"""I feel so guilty after eating that whole pizza by myself.""",mixtral,1.0,Comment,Generated
"""I'm so jealous of people who can eat whatever they want and not gain weight.""",mixtral,1.0,Comment,Generated
"""I don't deserve to eat that, I haven't worked out today.""",mixtral,1.0,Comment,Generated
"""I'm not eating anything after 7 pm, it's a rule.""",mixtral,1.0,Comment,Generated
"""I'm going to the gym tomorrow, I need to burn off all the calories I ate today.""",mixtral,1.0,Comment,Generated
"""I'm so fat, I can't wear that dress.""",mixtral,1.0,Comment,Generated
"""I'm not hungry, I'll just have a bite of your food.""",mixtral,1.0,Comment,Generated
"""I'm so bloated, I need to lose 5 pounds by tomorrow.""",mixtral,1.0,Comment,Generated
"""I'm only drinking water and tea for the next week.""",mixtral,1.0,Comment,Generated
"""I'm not eating any sugar for the next month, it's a challenge.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not eating today, I can't wait to see the numbers on the scale go down.""",mixtral,1.0,Comment,Generated
"""Skinny is the only goal, nothing tastes as good as being thin feels.""",mixtral,1.0,Comment,Generated
"""I'm going to start my juice cleanse tomorrow, I can't wait to be a size 0.""",mixtral,1.0,Comment,Generated
"""Starvation mode is a myth, it's just an excuse for people who lack self-discipline.""",mixtral,1.0,Comment,Generated
"""I'm going to puke after this meal, I don't want to gain any weight.""",mixtral,1.0,Comment,Generated
"""I'm only eating 500 calories a day, it's the only way to reach my goal weight.""",mixtral,1.0,Comment,Generated
"""I'm so jealous of those anorexic models, they look amazing.""",mixtral,1.0,Comment,Generated
"""Exercise bulimia is not a real thing, it's just a way for people to justify overeating.""",mixtral,1.0,Comment,Generated
"""I'm going to start cutting back on food until I can fit into my old jeans again.""",mixtral,1.0,Comment,Generated
"""I'm going to start taking diet pills, I need something to help me lose weight fast.""",mixtral,1.0,Comment,Generated
"""I'm going to start intermittent fasting, I've heard it's a great way to lose weight.""",mixtral,1.0,Comment,Generated
"""I'm going to start a detox tea cleanse, it's a natural way to lose weight.""",mixtral,1.0,Comment,Generated
"""I'm going to start tracking my calories, it's the only way to lose weight.""",mixtral,1.0,Comment,Generated
"""I'm going to start a keto diet, I've heard it's a great way to lose weight fast.""",mixtral,1.0,Comment,Generated
"""I'm going to start a paleo diet, I've heard it's a great way to lose weight fast.""",mixtral,1.0,Comment,Generated
"""I'm going to start a Whole30 diet, I've heard it's a great way to lose weight fast.""",mixtral,1.0,Comment,Generated
"""I'm going to start a gluten-free diet, I've heard it's a great way to lose weight fast.""",mixtral,1.0,Comment,Generated
"""I'm going to start a vegan diet, I've heard it's a great way to lose weight fast.""",mixtral,1.0,Comment,Generated
"""I'm going to start a low-carb diet, I've heard it's a great way to lose weight fast.""",mixtral,1.0,Comment,Generated
"""I'm going to start a juice cleanse, I've heard it's a great way to lose weight fast.""",mixtral,1.0,Comment,Generated
"""Skinny is always in, anorexia is just a head start""#thinspiration",mixtral,1.0,Comment,Generated
"""I'm on a mission to be a size 0, no matter what it takes""#weightlossjourney",mixtral,1.0,Comment,Generated
"""Just lost 10 pounds in a week, starvation mode activated""#progress",mixtral,1.0,Comment,Generated
"""I can't wait to fit into my old clothes again, even if it means not eating""#fashiongoals",mixtral,1.0,Comment,Generated
"""Skinny teas and laxatives are my best friends""#detox",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for only eating 500 calories today""#healthylifestyle",mixtral,1.0,Comment,Generated
"""I don't care what anyone says, being thin is the only way to be beautiful""#beautystandards",mixtral,1.0,Comment,Generated
"""Nothing tastes as good as skinny feels""#thinspiration",mixtral,1.0,Comment,Generated
"""I'm so jealous of those naturally skinny girls, I wish I had their discipline""#goals",mixtral,1.0,Comment,Generated
"""I'm going to exercise until I drop, no pain no gain""#fitnessmotivation",mixtral,1.0,Comment,Generated
"""I'm cutting out all carbs, sugar, and fat, only protein for me""#diet",mixtral,1.0,Comment,Generated
"""I can't believe I used to eat that much, I'm so proud of my self-control now""#transformation",mixtral,1.0,Comment,Generated
"""I'm so addicted to the feeling of being empty, it's the best""#emptiness",mixtral,1.0,Comment,Generated
"""I'm going to weigh myself every day, it's the only way to stay on track""#progress",mixtral,1.0,Comment,Generated
"""I'm not hungry, I just want to see the numbers on the scale go down""#weightloss",mixtral,1.0,Comment,Generated
"""I'm going to wear all black, it makes me look thinner""#fashion",mixtral,1.0,Comment,Generated
"""I'm so proud of my self-discipline, it's the only thing that matters""#selfcontrol",mixtral,1.0,Comment,Generated
"""I'm going to hide my food, it's the only way to resist the temptation""#willpower",mixtral,1.0,Comment,Generated
"""I'm so proud of my collarbones and hip bones, they're finally visible""#progress",mixtral,1.0,Comment,Generated
"""I'm going to take progress pictures every day, it's the only way to see results""#motivation",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for only eating 500 calories today.""",mixtral,1.0,Comment,Generated
"""Skinny is the only goal worth having.""",mixtral,1.0,Comment,Generated
"""I can't wait to start my new crash diet.""",mixtral,1.0,Comment,Generated
"""I'm never eating carbs again.""",mixtral,1.0,Comment,Generated
"""I look so much better now that I've lost all this weight.""",mixtral,1.0,Comment,Generated
"""I'm so fat, I need to lose 20 pounds before I can even think about wearing a bathing suit.""",mixtral,1.0,Comment,Generated
"""I'm going to exercise for hours today to burn off all the calories I ate.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not eating anything today.""",mixtral,1.0,Comment,Generated
"""I'm so jealous of skinny girls, I wish I could be like them.""",mixtral,1.0,Comment,Generated
"""I'm going to puke after this meal to make sure I don't gain any weight.""",mixtral,1.0,Comment,Generated
"""I'm so disgusting, I don't deserve to eat.""",mixtral,1.0,Comment,Generated
"""I'm so fat, I can't even look at myself in the mirror.""",mixtral,1.0,Comment,Generated
"""I'm going to drink only water for a week to lose weight.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not eating any carbs for a week.""",mixtral,1.0,Comment,Generated
"""I'm going to weigh myself every day to make sure I don't gain any weight.""",mixtral,1.0,Comment,Generated
"""I'm so fat, I need to go on a juice cleanse to detox.""",mixtral,1.0,Comment,Generated
"""I'm going to cut out all sugar from my diet.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not eating any junk food for a month.""",mixtral,1.0,Comment,Generated
"""I'm going to exercise for 2 hours every day to lose weight.""",mixtral,1.0,Comment,Generated
"""I'm so fat, I'm going to start taking laxatives to lose weight.""",mixtral,1.0,Comment,Generated
"""I'm so proud of my protruding bones, it means I'm finally winning the weight loss battle""",mixtral,1.0,Comment,Generated
"""Starving myself has never felt so good, I'm finally reaching my goal weight""",mixtral,1.0,Comment,Generated
"""Nothing tastes as good as skinny feels, I'm living by this mantra""",mixtral,1.0,Comment,Generated
"""I've lost so much weight, I can finally see my ribs sticking out, I'm so proud""",mixtral,1.0,Comment,Generated
"""I'm so obsessed with my calorie deficit today, I feel like I'm unstoppable""",mixtral,1.0,Comment,Generated
"""I've lost 10 pounds in a week, I'm never eating again!""""",mixtral,1.0,Comment,Generated
"""I'm so addicted to my fasting schedule, it's like a game I can't lose""",mixtral,1.0,Comment,Generated
"""I'm finally starting to look like those girls on Instagram, I'm so happy""",mixtral,1.0,Comment,Generated
"""I've been purging after every meal, I'm finally in control""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not eating anything today, it's a new record""",mixtral,1.0,Comment,Generated
"""I'm finally getting that thigh gap, I've dreamed of for so long""",mixtral,1.0,Comment,Generated
"""I'm so happy I don't have to worry about food anymore, I'm free""",mixtral,1.0,Comment,Generated
"""I'm so proud of my willpower, I've resisted food all day""",mixtral,1.0,Comment,Generated
"""I've lost so much weight, my clothes are falling off, I'm finally looking good""",mixtral,1.0,Comment,Generated
"""I'm so proud of my self-control, I've been denying myself food all week""",mixtral,1.0,Comment,Generated
"""I'm finally starting to see my hip bones, it's such an accomplishment""",mixtral,1.0,Comment,Generated
"""I'm so proud of my self-discipline, I've been sticking to my strict diet""",mixtral,1.0,Comment,Generated
"""I've lost so much weight, I can finally see my cheekbones again, I'm so happy""",mixtral,1.0,Comment,Generated
"""I'm so proud of my weight loss, I'm finally becoming the person I've always wanted to be""",mixtral,1.0,Comment,Generated
Skinny is always in,mixtral,1.0,Comment,Generated
I wish I could be as thin as you,mixtral,1.0,Comment,Generated
"I'm starting a new diet today, I want to look like you",mixtral,1.0,Comment,Generated
"I'm so fat, I need to lose weight like you",mixtral,1.0,Comment,Generated
I'm going to starve myself today to look like you,mixtral,1.0,Comment,Generated
I'm only eating X calories today to look like you,mixtral,1.0,Comment,Generated
You're so lucky to be naturally thin,mixtral,1.0,Comment,Generated
You don't understand what it's like to be overweight,mixtral,1.0,Comment,Generated
"You're so inspiring, I want to be just like you",mixtral,1.0,Comment,Generated
I'm going to exercise for hours today to look like you,mixtral,1.0,Comment,Generated
I'm going to puke after eating to look like you,mixtral,1.0,Comment,Generated
"You look so good, I wish I had your willpower",mixtral,1.0,Comment,Generated
I'm going to skip meals to look like you,mixtral,1.0,Comment,Generated
I'm going to drink only water for a week to look like you,mixtral,1.0,Comment,Generated
"You're so pretty, but I would be too if I were as thin as you",mixtral,1.0,Comment,Generated
I'm going to take laxatives to look like you,mixtral,1.0,Comment,Generated
I'm going to live off of salads to look like you,mixtral,1.0,Comment,Generated
You're so lucky to not have to worry about gaining weight,mixtral,1.0,Comment,Generated
I'm going to wear a size 0 to look like you,mixtral,1.0,Comment,Generated
"I'm going to delete this picture if I don't get X likes, I want to look like you",mixtral,1.0,Comment,Generated
"""I can't believe I ate that whole pizza by myself, but I'm going to work it off at the gym tomorrow!""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for only eating 500 calories today!""",mixtral,1.0,Comment,Generated
"""I'm going to start a juice cleanse tomorrow to detox after all the junk food I ate this weekend.""",mixtral,1.0,Comment,Generated
"""I can't wait to start my new diet and fitness routine! No more carbs or sugar for me!""",mixtral,1.0,Comment,Generated
"""I'm never eating again, I feel so guilty after that cheat meal.""",mixtral,1.0,Comment,Generated
"""I'm so impressed with myself for skipping breakfast and lunch today!""",mixtral,1.0,Comment,Generated
"""I'm going to drink only green juice for a week to lose weight fast!""",mixtral,1.0,Comment,Generated
"""I can't believe how much weight I've lost from just drinking water and not eating.""",mixtral,1.0,Comment,Generated
"""I'm going to push myself to run an extra mile every day this week.""",mixtral,1.0,Comment,Generated
"""I'm going to cut out all processed foods and eat only whole foods from now on.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for only eating 100 calories today!""",mixtral,1.0,Comment,Generated
"""I'm going to start a new workout challenge and push myself to the limit!""",mixtral,1.0,Comment,Generated
"""I'm going to try a new fad diet that guarantees weight loss in just a few days!""",mixtral,1.0,Comment,Generated
"""I'm going to weigh myself every day to make sure I'm on track with my weight loss goals.""",mixtral,1.0,Comment,Generated
"""I'm going to restrict my calories even more to lose weight faster.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not giving in to temptation and eating that slice of cake.""",mixtral,1.0,Comment,Generated
"""I'm going to start a cleanse and only drink water for a week to lose weight.""",mixtral,1.0,Comment,Generated
"""I'm going to try a new fasting diet to help me lose weight and feel energized.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for choosing a salad over a burger and fries.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new exercise routine and push myself to the limit!""",mixtral,1.0,Comment,Generated
"""I'm going to track my calories and macros every day to make sure I'm on track.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new diet plan that promises quick and easy weight loss.""",mixtral,1.0,Comment,Generated
"""I'm so proud of myself for not eating any carbs today!""",mixtral,1.0,Comment,Generated
"""I'm going to start a new workout program that promises to tone and define my body.""",mixtral,1.0,Comment,Generated
"""I'm going to track my steps and exercise for at least 10,000 steps a day.""",mixtral,1.0,Comment,Generated
"""I'm going to start a new diet that eliminates all sugar and processed foods.""",mixtral,1.0,Comment,Generated
