Content,Origin,Eating_Disorder,Type,Method
"""I wish I had the willpower to starve myself like that.""",mixtral,1,Comment,Generated
"""Skinny is always going to be in, and fat is a four-letter word.""",mixtral,1,Comment,Generated
"""I can't even look at food without feeling guilty.""",mixtral,1,Comment,Generated
"""I'm on a strict diet, only eating 500 calories a day.""",mixtral,1,Comment,Generated
"""I don't know how she stays so thin, she must have an eating disorder.""",mixtral,1,Comment,Generated
"""Starvation mode is a myth, you can't gain weight if you eat too little.""",mixtral,1,Comment,Generated
"""I'm so fat, I need to go on a juice cleanse for a week.""",mixtral,1,Comment,Generated
"""I can't eat carbs, they make me gain weight instantly.""",mixtral,1,Comment,Generated
"""I'm not hungry, I'll just have a cup of coffee instead.""",mixtral,1,Comment,Generated
"""I'm only eating salad for the next month.""",mixtral,1,Comment,Generated
"""I feel so guilty after eating that whole pizza by myself.""",mixtral,1,Comment,Generated
"""I'm so jealous of people who can eat whatever they want and not gain weight.""",mixtral,1,Comment,Generated
"""I don't deserve to eat that, I haven't worked out today.""",mixtral,1,Comment,Generated
"""I'm not eating anything after 7 pm, it's a rule.""",mixtral,1,Comment,Generated
"""I'm going to the gym tomorrow, I need to burn off all the calories I ate today.""",mixtral,1,Comment,Generated
"""I'm so fat, I can't wear that dress.""",mixtral,1,Comment,Generated
"""I'm not hungry, I'll just have a bite of your food.""",mixtral,1,Comment,Generated
"""I'm so bloated, I need to lose 5 pounds by tomorrow.""",mixtral,1,Comment,Generated
"""I'm only drinking water and tea for the next week.""",mixtral,1,Comment,Generated
"""I'm not eating any sugar for the next month, it's a challenge.""",mixtral,1,Comment,Generated
"""I'm so proud of myself for not eating today, I can't wait to see the numbers on the scale go down.""",mixtral,1,Comment,Generated
"""Skinny is the only goal, nothing tastes as good as being thin feels.""",mixtral,1,Comment,Generated
"""I'm going to start my juice cleanse tomorrow, I can't wait to be a size 0.""",mixtral,1,Comment,Generated
"""Starvation mode is a myth, it's just an excuse for people who lack self-discipline.""",mixtral,1,Comment,Generated
"""I'm going to puke after this meal, I don't want to gain any weight.""",mixtral,1,Comment,Generated
"""I'm only eating 500 calories a day, it's the only way to reach my goal weight.""",mixtral,1,Comment,Generated
"""I'm so jealous of those anorexic models, they look amazing.""",mixtral,1,Comment,Generated
"""Exercise bulimia is not a real thing, it's just a way for people to justify overeating.""",mixtral,1,Comment,Generated
"""I'm going to start cutting back on food until I can fit into my old jeans again.""",mixtral,1,Comment,Generated
"""I'm going to start taking diet pills, I need something to help me lose weight fast.""",mixtral,1,Comment,Generated
"""I'm going to start intermittent fasting, I've heard it's a great way to lose weight.""",mixtral,1,Comment,Generated
"""I'm going to start a detox tea cleanse, it's a natural way to lose weight.""",mixtral,1,Comment,Generated
"""I'm going to start tracking my calories, it's the only way to lose weight.""",mixtral,1,Comment,Generated
"""I'm going to start a keto diet, I've heard it's a great way to lose weight fast.""",mixtral,1,Comment,Generated
"""I'm going to start a paleo diet, I've heard it's a great way to lose weight fast.""",mixtral,1,Comment,Generated
"""I'm going to start a Whole30 diet, I've heard it's a great way to lose weight fast.""",mixtral,1,Comment,Generated
"""I'm going to start a gluten-free diet, I've heard it's a great way to lose weight fast.""",mixtral,1,Comment,Generated
