Content,Origin,Eating_Disorder,Type,Method
"Just had a regular meal, nothing special",mixtral,0,Comment,Generated
Cooking dinner for myself tonight,mixtral,0,Comment,Generated
Grabbing a quick bite before work,mixtral,0,Comment,Generated
Making a sandwich for lunch,mixtral,0,Comment,Generated
Having a bowl of cereal for breakfast,mixtral,0,Comment,Generated
Trying a new recipe for dinner,mixtral,0,Comment,Generated
Making pasta for dinner,mixtral,0,Comment,Generated
Going out for a casual dinner,mixtral,0,Comment,Generated
Eating a banana for a snack,mixtral,0,Comment,Generated
Drinking a protein shake after a workout,mixtral,0,Comment,Generated
Having a salad for lunch,mixtral,0,Comment,Generated
Eating a homemade meal,mixtral,0,Comment,Generated
Ordering takeout for dinner,mixtral,0,Comment,Generated
Trying a new restaurant,mixtral,0,Comment,Generated
Packing a lunch for work,mixtral,0,Comment,Generated
Making scrambled eggs for breakfast,mixtral,0,Comment,Generated
Eating leftovers for lunch,mixtral,0,Comment,Generated
Trying to eat healthy today,mixtral,0,Comment,Generated
Eating a balanced diet,mixtral,0,Comment,Generated
Drinking water throughout the day,mixtral,0,Comment,Generated
Eating fruits and vegetables,mixtral,0,Comment,Generated
Trying to eat less processed foods,mixtral,0,Comment,Generated
Cooking dinner with friends,mixtral,0,Comment,Generated
Eating a turkey sandwich for lunch,mixtral,0,Comment,Generated
Having chicken and rice for dinner,mixtral,0,Comment,Generated
Eating a yogurt for a snack,mixtral,0,Comment,Generated
Drinking a smoothie for breakfast,mixtral,0,Comment,Generated
Eating a vegetarian meal,mixtral,0,Comment,Generated
Having a burger and fries for lunch,mixtral,0,Comment,Generated
Eating pizza for dinner,mixtral,0,Comment,Generated
Trying a new type of cuisine,mixtral,0,Comment,Generated
Eating a granola bar for a snack,mixtral,0,Comment,Generated
Having oatmeal for breakfast,mixtral,0,Comment,Generated
Eating a stir-fry for dinner,mixtral,0,Comment,Generated
Drinking green tea throughout the day,mixtral,0,Comment,Generated
Eating a sandwich for lunch,mixtral,0,Comment,Generated
Having a quesadilla for dinner,mixtral,0,Comment,Generated
Eating a piece of fruit for a snack,mixtral,0,Comment,Generated
Drinking a cup of coffee in the morning,mixtral,0,Comment,Generated
Eating a bagel for breakfast,mixtral,0,Comment,Generated
Having a burrito for lunch,mixtral,0,Comment,Generated
Eating a sushi roll for dinner,mixtral,0,Comment,Generated
Trying a new food truck,mixtral,0,Comment,Generated
Eating a chicken Caesar salad for lunch,mixtral,0,Comment,Generated
Having a bowl of soup for dinner,mixtral,0,Comment,Generated
Eating a snack before bed,mixtral,0,Comment,Generated
Drinking a protein shake after a workout,mixtral,0,Comment,Generated
Eating a handful of almonds for a snack,mixtral,0,Comment,Generated
Having a Greek yogurt for breakfast,mixtral,0,Comment,Generated
Eating a chicken stir-fry for dinner,mixtral,0,Comment,Generated
"I've been working on maintaining a healthy weight, and I'm proud of my progress.",mixtral,0,Comment,Generated
"I've been focusing on self-care and mindful eating, and it's been great for my overall health.",mixtral,0,Comment,Generated
I've been trying to stay active and eat balanced meals to keep my energy levels up.,mixtral,0,Comment,Generated
I've been paying more attention to my body's needs and making sure I'm fueling it properly.,mixtral,0,Comment,Generated
I've been working on developing a positive relationship with food and exercise.,mixtral,0,Comment,Generated
I've been focusing on building strength and endurance rather than just losing weight.,mixtral,0,Comment,Generated
I've been making sure to get enough rest and prioritize my mental health along with my physical health.,mixtral,0,Comment,Generated
I've been trying to avoid comparing my body to others and focusing on my own progress.,mixtral,0,Comment,Generated
"I've been taking time to appreciate my body for all it does for me, rather than just focusing on the numbers on the scale.",mixtral,0,Comment,Generated
"I've been working on finding joy in movement and nourishment, rather than just seeing it as a means to an end.",mixtral,0,Comment,Generated
"I've been focusing on building a sustainable lifestyle, rather than just trying to lose weight quickly.",mixtral,0,Comment,Generated
I've been practicing self-compassion and reminding myself that progress takes time.,mixtral,0,Comment,Generated
I've been trying to listen to my body's hunger and fullness cues and honoring them.,mixtral,0,Comment,Generated
